,Average Videos,Average Video Rating,Average Views,Average Duration,Total Videos,Total Views,Oldest Video Publish Date,Oldest Video Uploaded Date,Recent Video Publish Date,Recent Video Uploaded Date
tutorial,135,4.94,35.7 M,"1 day, 7:53:08",406,107.1 M,2015-03-22,2015-03-22,2020-09-10,2020-09-10
hindi,108,4.95,10.6 M,11:23:41,108,10.6 M,2018-06-13,2018-06-13,2019-04-05,2019-04-05
live,1,4.96,165.3 K,0:20:34,1,165.3 K,2019-06-18,2019-06-18,2019-06-18,2019-06-18
regular,1,4.98,578.3 K,0:53:18,1,578.3 K,2017-10-24,2017-10-24,2017-10-24,2017-10-24
api,12,4.97,2.4 M,6:22:12,12,2.4 M,2017-11-08,2017-11-08,2020-09-10,2020-09-10
advanced,2,4.98,633.5 K,0:36:41,2,633.5 K,2016-04-04,2016-04-04,2017-03-27,2017-03-27
beginner,40,4.95,11.2 M,8:58:36,120,33.7 M,2015-10-29,2015-10-29,2018-09-07,2018-09-07
flask,15,4.98,4.1 M,8:50:42,15,4.1 M,2018-05-04,2018-05-04,2019-01-24,2019-01-24
django,13,4.93,4.1 M,5:40:44,26,8.2 M,2018-08-31,2018-08-31,2020-02-21,2020-02-21
data science,12,4.96,3.0 M,5:35:28,36,8.9 M,2016-08-10,2016-08-10,2020-09-10,2020-09-10
python,157,4.94,37.1 M,"1 day, 10:46:18",473,111.4 M,2015-03-22,2015-03-22,2020-09-10,2020-09-10
