,Average Views,Average Rating,Average Video Duration,Total Views,Total Videos,Least Viewed Video Id,Least Viewed Video Title,Least Viewed Count,Most Viewed Video Id,Most Viewed Video Title,Most Viewed Count,Least Rated Video Id,Least Rated Video Title,Minimum Rating,Most Rated Video Id,Most Rated Video Title,Maximum Rating,Shortest Video Id,Shortest Video Title,Shortest Duration,Longest Video Id,Longest Video Title,Longest Duration
tutorial,263.7 K,4.95,0:14:08,107.1 M,406.0,8o6HmJxi9pQ,Read CSV files with DictReader : Python tutorial 224 in Hindi,18.1 K,QXeEoD0pB3E,#0 Python Programming Tutorial for Beginners | Course Introduction,3.8 M,X4vVibQ835Q,print vs return : Python tutorial 71,4.71,uVNfQDohYNI,Python Flask Tutorial: Full-Featured Web App Part 12 - Custom Error Pages,5.0,XqrICVWDL60,Chapter 2 : Exercise 2 : Python tutorial 28,0:00:27,wRIUnHO_6KY,Python Project Create Real Software,3:32:42
hindi,98.2 K,4.95,0:06:20,10.6 M,108.0,H4YjxLe-eyU,Exercise 2 Better solution : Python tutorial 221,15.0 K,RAwntanK4wQ,Complete Python 3 Course (Introduction),1.4 M,X4vVibQ835Q,print vs return : Python tutorial 71,4.71,Kr_1Fr5DL_0,Exercise 1 solution  : Python tutorial 144,4.99,XqrICVWDL60,Chapter 2 : Exercise 2 : Python tutorial 28,0:00:27,7MQWCtTr0zA,"Create GUI App with Python , Tkinter [1]",1:21:26
live,165.3 K,4.96,0:20:34,165.3 K,1.0,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,165.3 K,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,165.3 K,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,4.96,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,4.96,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,0:20:34,Ercd-Ip5PfQ,Matplotlib Tutorial (Part 9): Plotting Live Data in Real-Time,0:20:34
regular,578.3 K,4.98,0:53:18,578.3 K,1.0,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),578.3 K,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),578.3 K,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),4.98,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),4.98,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),0:53:18,K8L6KVGG-7o,Python Tutorial: re Module - How to Write and Match Regular Expressions (Regex),0:53:18
api,198.2 K,4.97,0:31:51,2.4 M,12.0,1KO_HZtHOWI,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,22.9 K,ng2o98k983k,Python Tutorial: Web Scraping with BeautifulSoup and Requests,747.5 K,a6fIbtFB46g,Python Tutorial: Web Scraping with Requests-HTML,4.96,1KO_HZtHOWI,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,4.98,5iWhQWVXosU,Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),0:04:32,a6fIbtFB46g,Python Tutorial: Web Scraping with Requests-HTML,0:56:27
advanced,316.7 K,4.98,0:18:20,633.5 K,2.0,KlBPCzcQNU8,Python Tutorial: Decorators With Arguments,57.1 K,FsAPt_9Bf3U,Python Tutorial: Decorators - Dynamically Alter The Functionality Of Your Functions,576.3 K,FsAPt_9Bf3U,Python Tutorial: Decorators - Dynamically Alter The Functionality Of Your Functions,4.96,KlBPCzcQNU8,Python Tutorial: Decorators With Arguments,4.99,KlBPCzcQNU8,Python Tutorial: Decorators With Arguments,0:06:13,FsAPt_9Bf3U,Python Tutorial: Decorators - Dynamically Alter The Functionality Of Your Functions,0:30:28
beginner,281.2 K,4.96,0:13:28,33.7 M,120.0,xINdfZEWXHs,Chapter 9 Summary : Python tutorial 136,30.3 K,YYXdXT2l-Gg,Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,1.8 M,U2xhtrJx8aM,join and split method : Python tutorial 89,4.87,uVNfQDohYNI,Python Flask Tutorial: Full-Featured Web App Part 12 - Custom Error Pages,5.0,XqrICVWDL60,Chapter 2 : Exercise 2 : Python tutorial 28,0:00:27,-s7e_Fy6NRU,"Python Django Tutorial: Full-Featured Web App Part 10 - Create, Update, and Delete Posts",0:53:15
flask,270.8 K,4.98,0:35:23,4.1 M,15.0,LUFn-QVcmB8,Python Flask Tutorial: How to Use a Custom Domain Name for Our Application,57.3 K,MwZwr5Tvyxo,Python Flask Tutorial: Full-Featured Web App Part 1 - Getting Started,1.2 M,vutyTx7IaAI,Python Flask Tutorial: Full-Featured Web App Part 10 - Email and Password Reset,4.97,uVNfQDohYNI,Python Flask Tutorial: Full-Featured Web App Part 12 - Custom Error Pages,5.0,uVNfQDohYNI,Python Flask Tutorial: Full-Featured Web App Part 12 - Custom Error Pages,0:12:45,goToXTC96Co,Python Flask Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,1:15:00
django,317.0 K,4.95,0:26:13,8.2 M,26.0,qj-V2Ep4coY,Zip Function in Python,57.5 K,UmljXZIypDc,Python Django Tutorial: Full-Featured Web App Part 1 - Getting Started,1.4 M,UDmJGvM-OUw,Abstract Class and Abstract Method in Python,4.75,1PkNiYlkkjo,Python Django Tutorial: Full-Featured Web App Part 4 - Admin Page,4.99,qj-V2Ep4coY,Zip Function in Python,0:03:51,Sa_kQheCnds,Python Django Tutorial: Deploying Your Application (Option #1) - Deploy to a Linux Server,1:22:01
data science,246.7 K,4.97,0:27:57,8.9 M,36.0,1KO_HZtHOWI,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,22.9 K,hEgO047GxaQ,#1 Python Tutorial for Beginners | Introduction to Python,2.7 M,YJC6ldI3hWk,Python Tutorial: Anaconda - Installation and Using Conda,4.89,xN-Supd4H38,Matplotlib Tutorial (Part 4): Stack Plots,4.99,E_LZ7YBcrEA,is vs equals : Python tutorial 88,0:03:56,RO6JxDOVwLQ,Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation,0:52:33
