id,title,thumbnails->0->url,thumbnails->0->width,thumbnails->0->height,thumbnails->1->url,thumbnails->1->width,thumbnails->1->height,thumbnails->2->url,thumbnails->2->width,thumbnails->2->height,thumbnails->3->url,thumbnails->3->width,thumbnails->3->height,channel->name,channel->id,channel->link,duration,accessibility->title,accessibility->duration,link,playlist_id
QXeEoD0pB3E,#0 Python Programming Tutorial for Beginners | Course Introduction,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC8UHOKwKhxAVzEgVO6197KPQyKTg,168,94,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDeEqkbcwcOo_OSBWlZFQTrIxk_RQ,196,110,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi5X4uhA0USwxwuQJc_bx89I0JoA,246,138,https://i.ytimg.com/vi/QXeEoD0pB3E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3npa5ALtruCI4mVidy_y9Mw34aw,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,1:06,"#0 Python Programming Tutorial for Beginners | Course Introduction by Telusko 2 years ago 1 minute, 6 seconds","1 minute, 6 seconds",https://www.youtube.com/watch?v=QXeEoD0pB3E,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
hEgO047GxaQ,#1 Python Tutorial for Beginners | Introduction to Python,https://i.ytimg.com/vi/hEgO047GxaQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAI6uJIMo_N59Wndc-dfQDdhHEABg,168,94,https://i.ytimg.com/vi/hEgO047GxaQ/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCaGVgA-dmXyN28_Uem_Kb0UCtOOQ,196,110,https://i.ytimg.com/vi/hEgO047GxaQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ20q38mxgmbw9dotJc0ZQtrMjiQ,246,138,https://i.ytimg.com/vi/hEgO047GxaQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2fmbsyJ4qpjyEam2N_pWM7MaNeA,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,4:13,"#1 Python Tutorial for Beginners | Introduction to Python by Telusko 2 years ago 4 minutes, 13 seconds","4 minutes, 13 seconds",https://www.youtube.com/watch?v=hEgO047GxaQ,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
mbryl4MZJms,#2 Python Tutorial for Beginners | Python Installation | PyCharm,https://i.ytimg.com/vi/mbryl4MZJms/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAlSAyLMilUX37x_4hLX1_OWOryWA,168,94,https://i.ytimg.com/vi/mbryl4MZJms/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAzPDoAgccjcVQbT8Sgk0bAjt1EZw,196,110,https://i.ytimg.com/vi/mbryl4MZJms/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEtsYIKmKNMD6ueVaEVtwDw3y5rw,246,138,https://i.ytimg.com/vi/mbryl4MZJms/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBP_52yofew_46zPy7quCFnTKw1gA,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,8:33,"#2 Python Tutorial for Beginners | Python Installation | PyCharm by Telusko 2 years ago 8 minutes, 33 seconds","8 minutes, 33 seconds",https://www.youtube.com/watch?v=mbryl4MZJms,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
DWgzHbglNIo,#3 Python Tutorial for Beginners | Getting Started with Python,https://i.ytimg.com/vi/DWgzHbglNIo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDPfZW0BebtwkwV_v1KLwrVeCOtBg,168,94,https://i.ytimg.com/vi/DWgzHbglNIo/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCq2n_I8X4aDuqIyya506jiskHvMw,196,110,https://i.ytimg.com/vi/DWgzHbglNIo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQOx-tncflCyRo07baALy1OR_Tkg,246,138,https://i.ytimg.com/vi/DWgzHbglNIo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBU9tSQxkSby15kO6Ki2BJHaSic0g,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,14:49,"#3 Python Tutorial for Beginners | Getting Started with Python by Telusko 2 years ago 14 minutes, 49 seconds","14 minutes, 49 seconds",https://www.youtube.com/watch?v=DWgzHbglNIo,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
TqPzwenhMj0,#4 Python Tutorial for Beginners | Variables in Python,https://i.ytimg.com/vi/TqPzwenhMj0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBSEIIV7nQPBrAg8-j6zuJmmBMtPQ,168,94,https://i.ytimg.com/vi/TqPzwenhMj0/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCoD165B5JeJ1HLKeikhEyQn8o3OQ,196,110,https://i.ytimg.com/vi/TqPzwenhMj0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFzpW-5opwDwFD5zDooNfa9W56rg,246,138,https://i.ytimg.com/vi/TqPzwenhMj0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqNrVWeCRmCoaqPGiazcs-6odbkA,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,10:22,"#4 Python Tutorial for Beginners | Variables in Python by Telusko 2 years ago 10 minutes, 22 seconds","10 minutes, 22 seconds",https://www.youtube.com/watch?v=TqPzwenhMj0,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
Eaz5e6M8tL4,#5 Python Tutorial for Beginners | List in Python,https://i.ytimg.com/vi/Eaz5e6M8tL4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBtJZgdq9dDDMxgC9AmRFqWecIXxQ,168,94,https://i.ytimg.com/vi/Eaz5e6M8tL4/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLC5_jd90QcQ8oxT-pM1Go8BjkQgNQ,196,110,https://i.ytimg.com/vi/Eaz5e6M8tL4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYbrGahOT5S47M4Wk8Icw21GABNQ,246,138,https://i.ytimg.com/vi/Eaz5e6M8tL4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNEBmsLfDoCnIDjYJEJf5tt3M4bQ,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,10:42,"#5 Python Tutorial for Beginners | List in Python by Telusko 2 years ago 10 minutes, 42 seconds","10 minutes, 42 seconds",https://www.youtube.com/watch?v=Eaz5e6M8tL4,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
Mf7eFtbVxFM,#6 Python Tutorial for Beginners | Tuple | Set in Python,https://i.ytimg.com/vi/Mf7eFtbVxFM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCaMpjN-P7VP4iT6znnYEVo1Pvt1A,168,94,https://i.ytimg.com/vi/Mf7eFtbVxFM/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAgnWLTIzcMV02pmQH0T0hoR585Zw,196,110,https://i.ytimg.com/vi/Mf7eFtbVxFM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDjZgCC07NtNaM5r-JJ0AkzhUa99Q,246,138,https://i.ytimg.com/vi/Mf7eFtbVxFM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU7boZDDKhT6OUu9nStwxhsqxJ6g,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,6:41,"#6 Python Tutorial for Beginners | Tuple | Set in Python by Telusko 2 years ago 6 minutes, 41 seconds","6 minutes, 41 seconds",https://www.youtube.com/watch?v=Mf7eFtbVxFM,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
2IsF7DEtVjg,Dictionary in Python,https://i.ytimg.com/vi/2IsF7DEtVjg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDHEgVEAc2APbuSeHE9Ymn8iK_R6Q,168,94,https://i.ytimg.com/vi/2IsF7DEtVjg/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCwf2Mp89eqxnV8Kv3bq-cbA5bgEQ,196,110,https://i.ytimg.com/vi/2IsF7DEtVjg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQkiFcN2JVih355rlH62xNVy8AcA,246,138,https://i.ytimg.com/vi/2IsF7DEtVjg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7i1BsKJ3MgU-HiY20ZFjhqAIRDw,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,12:24,"Dictionary in Python by Telusko 1 year ago 12 minutes, 24 seconds","12 minutes, 24 seconds",https://www.youtube.com/watch?v=2IsF7DEtVjg,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
4V14G5_CNGg,#7 Python Tutorial for Beginners | Python Set Path in Windows and Help,https://i.ytimg.com/vi/4V14G5_CNGg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDEORuz1fai8hrJj1X7dYFAhRnMfw,168,94,https://i.ytimg.com/vi/4V14G5_CNGg/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBCn-BMlvyD7lNZ_v1jCyZEbNgSNA,196,110,https://i.ytimg.com/vi/4V14G5_CNGg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOdiT90-v7d8Fxw2kf_RLXpwSlIg,246,138,https://i.ytimg.com/vi/4V14G5_CNGg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBu3IJYoJprfMdoI1jgafVWzKQp2A,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,5:53,"#7 Python Tutorial for Beginners | Python Set Path in Windows and Help by Telusko 2 years ago 5 minutes, 53 seconds","5 minutes, 53 seconds",https://www.youtube.com/watch?v=4V14G5_CNGg,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
1U8TI16AR4s,#8 Python Tutorial for Beginners | Python Editor | Sublime Text,https://i.ytimg.com/vi/1U8TI16AR4s/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDFTKtF1R12uTyBG4hGz_7hXAnQTw,168,94,https://i.ytimg.com/vi/1U8TI16AR4s/hqdefault.jpg?sqp=-oaymwEbCMQBEG5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCJKIdqZeQzOTY7AvNLMZRtzFOhmw,196,110,https://i.ytimg.com/vi/1U8TI16AR4s/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4o9x90awZ3rMKENRkm0rvvxix1A,246,138,https://i.ytimg.com/vi/1U8TI16AR4s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpBCNs1SMHmQB2_T4FoCHBadoM1A,336,188,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,3:11,"#8 Python Tutorial for Beginners | Python Editor | Sublime Text by Telusko 2 years ago 3 minutes, 11 seconds","3 minutes, 11 seconds",https://www.youtube.com/watch?v=1U8TI16AR4s,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
